,label,pf_label,statement,subject,speaker,job,state,party,context
55,True,TRUE,"Democratic presidents ""have been considerably more effective at creating private-sector jobs.""","economy,history,workers",carolyn-maloney,U.S. Representative,New York,democrat,a floor speech in the House
56,True,TRUE,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.""",iraq,lindsey-graham,U.S. senator,South Carolina,republican,an interview on ABC News' <i> This Week </i>
57,False,pants-fire,Marco Rubio is the one for an open border.,immigration,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,in the CNN debate in Las Vegas
58,True,TRUE,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,"federal-budget,health-care",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,a speech
59,True,TRUE,You need a photo ID to purchase Sudafed in Texas.,"elections,legal-issues",rick-perry,Governor,Texas,republican,a Fox News interview.
60,True,TRUE,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",federal-budget,judd-gregg,U.S. Senator,,republican,a Fox News interview
61,True,TRUE,Warren (Buffett) still does support me.,economy,barack-obama,President,Illinois,democrat,a television interview
62,True,TRUE,George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,"candidates-biography,jobs",connie-mack,U.S. representative from Fort Myers,Florida,republican,a Web ad
63,False,pants-fire,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,immigration,allen-west,"U.S. representative, Florida District 22",Florida,republican,a campaign website
64,True,TRUE,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",crime,bill-white,Former mayor of Houston,Texas,democrat,the biography on his campaign Web site
65,False,pants-fire,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,"corrections-and-updates,obama-birth-certificate",facebook-posts,Social media posting,,none,multiple posts
66,True,TRUE,Nearly half of all pregnancies in the U.S. are unintended.,"abortion,census,children,families,health-care,public-health,women",edith-ajello,Rhode Island State Representative,Rhode Island,democrat,commentary piece
67,True,TRUE,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",education,scott-walker,Milwaukee County Executive,Wisconsin,republican,a radio interview
68,False,pants-fire,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,"animals,congress,history,polls",chain-email,,,none,a message via the Internet
69,True,TRUE,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.,economy,barack-obama,President,Illinois,democrat,"a town hall in St. Petersburg, Fla."
70,False,pants-fire,Texas this fiscal year will have more money in reserve than the other 49 states combined.,"state-budget,state-finances,states",dan-patrick,Lieutenant governor-elect,Texas,republican,an interview on KLBJ AM in Austin
71,False,pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,"health-care,states",rick-perry,Governor,Texas,republican,a column
72,False,pants-fire,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,federal-budget,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,a Twitter post
73,True,TRUE,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,housing,barney-simms,Atlanta Housing Authority chief external affairs officer,Georgia,none,a letter
74,True,TRUE,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",candidates-biography,chain-email,,,none,a chain e-mail and blog and Facebook posts
75,True,TRUE,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.","candidates-biography,pundits",joyce-kaufman,WFTL 850 AM talk show host,Florida,talk-show-host,a radio show
76,False,pants-fire,The people of Rhode Island don't want same-sex marriage.,"civil-rights,gays-and-lesbians,marriage,polls",christopher-plante,"executive director, National Organization for Marriage - Rhode Island",Rhode Island,newsmaker,a television interview
77,True,TRUE,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.","labor,pundits,state-budget,abc-news-week",george-will,Columnist,Maryland,columnist,"ABC's ""This Week"""
78,False,pants-fire,Starbucks took Christmas off of their brand new cups.,religion,joshua-feuerstein,,,republican,a video
79,True,TRUE,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.","autism,children,disability,education,families,immigration,state-budget,state-finances",associated-press,journalists,,none,article
80,True,TRUE,"24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,alan-grayson,U.S. House of Representatives,Florida,democrat,"appearance on Bill Maher show on Oct. 7, 2011"
81,True,TRUE,President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,"bipartisanship,federal-budget",barack-obama,President,Illinois,democrat,a televised address
82,True,TRUE,"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.","economy,job-accomplishments,jobs",rick-perry,Governor,Texas,republican,an advertisement
83,False,pants-fire,Two-thirds of groups targeted for IRS scrutiny were not conservative.,taxes,progress-texas,,Texas,none,a tweet
84,False,pants-fire,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.","foreign-policy,history",ben-carson,,,republican,an interview with CNN's Wolf Blitzer
85,True,TRUE,"You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.",iraq,joe-biden,U.S. senator,Delaware,democrat,"CNN/YouTube debate in Charleston, S.C."
86,True,TRUE,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.","state-budget,taxes,transportation",don-francis,coordinator of the Clean Cities-Georgia Coalition,,none,an interview with Watchdog.org
87,False,pants-fire,"Shes voted for 60 tax increases, hurting the middle class and small businesses.",taxes,rob-cornilles,consultant,Oregon,republican,
88,False,pants-fire,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.","candidates-biography,diversity,campaign-advertising",facebook-posts,Social media posting,,none,a meme supposedly quoting Sheila Jackson Lee
89,True,TRUE,2008 was the deadliest year of the war (in Afghanistan) for American forces.,"afghanistan,military",barack-obama,President,Illinois,democrat,a speech at the White House. 
90,True,TRUE,Amanda Fritz manages less than 5 percent of city operations.,city-government,mary-nolan,Represents Southwest Portland in Oregon House,Oregon,democrat,a debate.
91,True,TRUE,"Lawmakers were paid for their off-season efforts to, for the first time, take the lead in drawing borders for two would-be cities.",state-finances,mary-margaret-oliver,State Representative,Georgia,democrat,a House floor debate
92,False,pants-fire,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,"crime,ethics",wendy-davis,state senator,Texas,democrat,speaking to reporters
93,False,pants-fire,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","health-care,privacy",chain-email,,,none,a widely circulated e-mail
94,True,TRUE,I haven't missed a vote since 1993.,history,chuck-grassley,U.S. senator,Iowa,republican,a conference call
95,False,pants-fire,Roughly 25% of RI has a criminal record,"crime,criminal-justice,jobs,labor,legal-issues",direct-action-rights-equality,,Rhode Island,organization,an online petition
96,False,pants-fire,I'm probably one of the four or five best-known Americans in the world.,candidates-biography,rudy-giuliani,Attorney,New York,republican,a comment to reporters in London.
97,True,TRUE,Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,"foreign-policy,pundits,terrorism",jon-stewart,,,none,"in comments on Comedy Central's ""The Daily Show"""
98,True,TRUE,"Hillary Clinton ""starts off with 47 percent of the country against her.""",elections,barack-obama,President,Illinois,democrat,"a campaign rally in Alexandria, Va."
99,True,TRUE,Legislative cuts mean Texas is spending on average $500 less per student.,"education,state-budget",donna-howard,Texas House Representative,Texas,democrat,remarks at a Texas Capitol rally
100,False,pants-fire,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,"labor,state-budget",chain-email,,,none,a chain email and -- briefly -- a union web site
101,True,TRUE,"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.","elections,history",joe-scarborough,Host of a morning show on MSNBC,,none,"comments on MSNBC's ""Morning Joe"""
102,True,TRUE,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade",barack-obama,President,Illinois,democrat,the State of the Union speech
103,True,TRUE,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade",john-plumb,Candidate for Congress,New York,democrat,an interview on Capital Tonight.
104,False,pants-fire,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,web pages
105,False,pants-fire,The unemployment rate may be as high as 42 percent.,"corrections-and-updates,economy,jobs",donald-trump,President-Elect,New York,republican,a press conference
106,False,pants-fire,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.","history,pop-culture,pundits,religion",jon-stewart,,,none,"a segment of ""The Daily Show"""
107,True,TRUE,Trump proposed enacting the largest tax increase in American history.,"candidates-biography,taxes",jeb-bush,,Florida,republican,a fundraising email
108,True,TRUE,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget,barack-obama,President,Illinois,democrat,"a debate in Nashville, Tenn."
109,True,TRUE,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation,loretta-weinberg,State Senator,,democrat,an interview on the John Gambling radio program
110,True,TRUE,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""","elections,ethics",barack-obama,President,Illinois,democrat,"Tampa, Fla."
111,True,TRUE,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill",alex-sink,,Florida,democrat,remarks to reporters.
112,False,pants-fire,Crime is rising.,"crime,criminal-justice",donald-trump,President-Elect,New York,republican,a speech after several primaries concluded
113,False,pants-fire,"A Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",religion,victoria-taft,radio talk show host,Oregon,none,a website posting
114,False,pants-fire,An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.,"government-regulation,health-care,message-machine-2012,market-regulation",60-plus-association,,,none,a television commercial
115,True,TRUE,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,transportation,michael-doherty,,,republican,a news release
116,True,TRUE,"Nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",housing,ellen-rosenblum,,,democrat,an opinion article
117,True,TRUE,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.","education,state-budget",virginia-education-association,,,none,a web post.
118,True,TRUE,State Rep. Kristi Thibaut was an ACORN lobbyist.,candidates-biography,republican-party-texas,,Texas,republican,a tweet
119,True,TRUE,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.","abortion,taxes",oregon-2014,,Oregon,organization,online campaign materials
120,False,pants-fire,"A tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",candidates-biography,donald-trump,President-Elect,New York,republican,the second presidential debate
121,False,pants-fire,Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,"candidates-biography,history",dinesh-dsouza,Author and film director,California,none,a tweet
122,True,TRUE,Texas leads the nation in the percentage of residents without health insurance.,health-care,paul-krugman,New York Times columnist,,none,an op-ed column
123,False,pants-fire,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,"education,state-budget,states",scott-walker,Milwaukee County Executive,Wisconsin,republican,a news release
124,False,pants-fire,Paul Ryans budget plan ends Medicare.,"federal-budget,health-care,medicare,message-machine-2012",rob-zerban,,,democrat,a TV ad
125,True,TRUE,New Hampshire has the third-highest property tax in the country.,"corrections-and-updates,taxes",jackie-cilley,Marketing,New Hampshire,democrat,a statement during a candidates forum at Nashua City Hall
126,True,TRUE,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",taxes,barack-obama,President,Illinois,democrat,"Elko, Nev."
127,True,TRUE,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism",marc-schare,Member of the Worthington Board of Education,Ohio,none,an Ohio House committee hearing 
128,False,pants-fire,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",health-care,barack-obama,President,Illinois,democrat,a speech to Organizing for Action
129,False,pants-fire,"Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.","economy,jobs",rick-scott,Governor,Florida,republican,a TV interview
130,False,pants-fire,I was the first in her family to go to a four-year college.,education,katie-mcginty,,Pennsylvania,democrat,On the 'About' page of McGinty's campaign website
131,True,TRUE,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians don't want our money.","foreign-policy,polls",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,a Fox News interview
132,True,TRUE,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",crime,mitt-romney,Former governor,Massachusetts,republican,an interview
133,True,TRUE,Americans spend 6.1 billion hours a year on tax preparation.,taxes,virginia-foxx,U.S. Representative,North Carolina,republican,in a comment on Twitter
134,True,TRUE,"Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy",barack-obama,President,Illinois,democrat,a speech in the Rose Garden
135,False,pants-fire,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.","health-care,medicare",chain-email,,,none,a chain e-mail
136,True,TRUE,Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,elections,kevin-dewine,Chairman of the Ohio Republican Party,Ohio,republican,a speech at a GOP dinner
137,True,TRUE,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.","civil-rights,crime,criminal-justice,marijuana",diego-arene-morley,Student,"Washington, D.C.",activist,a community forum
138,True,TRUE,Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.,"debt,federal-budget,taxes,voting-record",ed-gillespie,Republican strategist,"Washington, D.C.",republican,a web ad.
139,True,TRUE,"As governor, I've stood up to ... the big oil companies.",energy,sarah-palin,,Alaska,republican,"Dayton, Ohio"
140,True,TRUE,Kendrick Meek has voted 98.6 percent of the time with the Democrat party.,voting-record,maurice-ferre,Former mayor of Miami,Florida,democrat,an editorial meeting.
141,True,TRUE,Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term.,"economy,income,workers",blog-posting,,,none,various blogs and Internet comments
142,True,TRUE,"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'""",religion,moveon,,,democrat,an e-mail message
143,True,TRUE,51 percent of federal tax filers paid zero federal income tax.,taxes,rob-cornilles,consultant,Oregon,republican,a statement on his website
144,True,TRUE,I would be the first Republican senator elected in New Jersey in 41 years.,"congress,elections",steve-lonegan,Conservative Activist,New Jersey,republican,an interview on the John Gambling radio program
145,True,TRUE,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,climate-change,next-generation-climate-action-committee,,,democrat,a blog post
146,True,TRUE,"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.",education,bobby-scott,U.S. Congressman,Virginia,democrat,a news release.
147,False,pants-fire,"Wisconsin has only one county, Dane, thats hand counting the votes in the 2016 presidential recount.","county-government,elections",sean-duffy,Member of the U.S. House,Wisconsin,republican,an interview
148,True,TRUE,Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent.,housing,matthew-charles-cardinale,,,none,an opinion piece in the Saporta Report
149,True,TRUE,Annual precipitation has increased in Rhode Island by over 12 inches in the last century.,"climate-change,history,science,weather",david-cicilline,mayor of Providence,Rhode Island,democrat,a commentary in The Providence Journal
150,True,TRUE,The state budget proposal has been submitted on time and [its] the earliest that a governor has done so in over two decades.,"government-efficiency,history,state-budget,state-finances",lincoln-chafee,,Rhode Island,democrat,his State of the State address
151,True,TRUE,Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,elections,kathleen-clyde,State representative,Ohio,democrat,a news conference
152,True,TRUE,Vietnamese is the third most commonly spoken language in Texas.,"population,states",john-cornyn,Senator,Texas,republican,Senate floor remarks
153,False,pants-fire,"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""","candidates-biography,legal-issues",blog-posting,,,none,a posting on many blogs.
154,False,pants-fire,"Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.",history,ray-mcberry,,,republican,a radio interview
155,True,TRUE,Our economy still has three people looking for every job (opening).,"economy,jobs,labor",gene-sperling,Director of the National Economic Council ,,democrat,"an interview on CNN's ""State of the Union"""
156,True,TRUE,I got unions to agree to about $10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin.,"county-budget,county-government,labor,unions",kathleen-falk,,,democrat,a TV interview
157,True,TRUE,Democrats have lost more than 900 state legislators since Barack Obama has been president.,"candidates-biography,elections",cokie-roberts,"NPR contributor, ABC commentator",Maryland,journalist,"comments on ABC's ""This Week"""
158,True,TRUE,"Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya.","foreign-policy,military,terrorism",ron-johnson,,Wisconsin,republican,an opinion article
159,True,TRUE,Failure to raise the debt limit does not force a U.S. default on debt payments.,"deficit,economy,federal-budget",randy-forbes,Representative,Virginia,republican,a statement.
160,True,TRUE,The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,public-health,fulton-county-health-and-wellness,none,Georgia,none,a press release
161,False,pants-fire,Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011.,"homeland-security,military,terrorism",chain-email,,,none,a chain e-mail
162,True,TRUE,"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.",education,ron-paul,U.S. representative,Texas,republican,"a debate in Johnston, Iowa"
163,True,TRUE,A highway was closed in El Paso because of bullets flying across the border.,"crime,drugs,homeland-security",greg-abbott,governor,Texas,republican,an interview
